Fecha,P38,P42,P43,P55,P57
2009-12-01,22.00,59.28,,60.70,
2010-01-01,,30.48,,21.50,
2010-02-01,28.60,45.84,,21.30,108.60
2010-03-01,,77.28,20.70,46.00,124.20
2010-04-01,,169.36,,129.60,196.40
2010-05-01,,124.00,,79.20,167.50
2010-06-01,112.30,225.84,29.60,131.40,210.50
2010-07-01,68.70,174.24,66.00,105.80,169.80
2010-08-01,37.20,184.80,73.40,119.90,99.80
2010-09-01,38.40,130.80,33.20,65.80,99.30
2010-10-01,66.90,58.62,51.80,36.70,75.50
2010-11-01,132.60,164.68,,104.50,126.10
2010-12-01,,131.28,,71.60,79.80
2011-01-01,40.90,53.76,37.60,51.30,62.80
2011-02-01,,128.32,,129.70,85.00
2011-03-01,,86.88,74.80,63.70,97.50
2011-04-01,117.10,143.76,111.60,151.90,175.90
2011-05-01,42.00,189.60,141.20,110.60,140.40
2011-06-01,24.70,144.00,144.50,109.20,126.70
2011-07-01,79.40,256.24,138.00,141.20,152.10
2011-08-01,48.20,143.28,63.70,81.00,119.00
2011-09-01,44.80,161.76,87.30,70.50,133.70
2011-10-01,60.60,109.04,74.00,78.50,
2011-11-01,132.70,178.36,96.30,74.00,
2011-12-01,92.10,183.04,115.90,84.90,
2012-01-01,84.90,138.72,114.20,95.70,
2012-02-01,57.10,114.96,83.40,53.50,
2012-03-01,32.80,145.44,90.80,75.50,
2012-04-01,,132.72,99.50,84.10,
2012-05-01,,130.08,92.90,62.10,
2012-06-01,,133.44,83.00,53.70,
2012-07-01,44.40,187.20,118.00,78.70,
2012-08-01,38.00,174.96,117.40,88.60,
2012-09-01,12.20,91.68,57.50,42.10,
2012-10-01,69.00,92.88,71.00,59.00,
2012-11-01,32.30,,40.60,81.70,
2012-12-01,,,45.20,29.00,
2013-01-01,29.10,,64.40,54.70,
2013-02-01,123.30,190.40,159.60,108.10,
2013-03-01,43.80,,57.10,45.90,
2013-04-01,42.02,95.04,69.80,41.20,
2013-05-01,99.72,138.72,114.50,103.60,
2013-06-01,,125.76,78.40,39.90,
2013-07-01,21.12,221.76,138.20,102.10,
2013-08-01,33.60,119.04,73.80,44.40,
2013-09-01,49.20,127.68,86.80,65.80,
2013-10-01,90.96,138.96,83.50,75.90,
2013-11-01,75.72,157.52,88.70,57.70,
2013-12-01,42.60,56.40,36.50,29.80,
2014-01-01,80.64,130.32,93.70,59.70,
2014-02-01,17.52,32.16,16.60,23.50,
2014-03-01,134.04,128.16,100.80,87.00,
2014-04-01,114.22,174.72,113.90,66.50,
2014-05-01,135.60,160.32,118.80,97.60,
2014-06-01,159.00,244.80,172.10,131.80,
2014-07-01,67.08,189.60,114.80,83.90,
2014-08-01,63.36,152.88,97.50,67.40,
2014-09-01,78.24,156.72,95.00,71.20,
2014-10-01,106.32,169.20,105.90,103.00,
2014-11-01,50.40,119.76,81.70,52.50,
2014-12-01,57.36,109.68,76.80,83.00,
2015-01-01,76.32,107.52,64.40,62.70,
2015-02-01,51.24,70.08,39.60,28.30,
2015-03-01,104.40,151.68,95.80,85.40,
2015-04-01,78.12,204.96,110.70,72.30,
2015-05-01,105.72,169.44,102.50,63.70,
2015-06-01,142.44,373.44,201.90,153.50,
2015-07-01,124.08,338.16,174.50,136.50,
2015-08-01,52.32,193.20,92.80,67.10,
2015-09-01,28.68,,38.40,24.00,
2015-10-01,63.96,133.68,84.50,57.40,
2015-11-01,87.12,132.72,78.50,70.40,
2015-12-01,38.76,95.04,46.80,29.10,
2016-01-01,29.04,21.36,15.00,38.40,
2016-02-01,84.00,154.08,83.20,48.50,
2016-03-01,124.68,198.96,110.50,80.90,
2016-04-01,180.36,224.16,146.90,160.50,
2016-05-01,84.00,155.04,82.20,50.00,
2016-06-01,126.96,342.00,187.90,136.20,
2016-07-01,75.12,233.52,137.00,97.70,
2016-08-01,44.28,114.96,58.00,37.40,
2016-09-01,99.24,215.52,138.40,100.20,
2016-10-01,66.60,154.32,101.00,63.50,
2016-11-01,43.20,108.48,57.30,58.30,
2016-12-01,49.56,61.44,45.20,54.50,
2017-01-01,101.04,,113.90,87.00,
2017-02-01,62.40,78.72,61.60,73.70,
2017-03-01,130.78,173.76,106.80,133.90,
2017-04-01,,161.76,85.90,52.70,
2017-05-01,101.90,204.48,,85.70,
