Fecha,P34,P46,M5023
2009-10-01,27.60,30.40,
2009-11-01,6.60,52.50,
2009-12-01,45.80,,
2010-01-01,41.70,,
2010-02-01,71.40,,
2010-03-01,70.60,86.00,
2010-04-01,106.90,121.40,97.80
2010-05-01,125.80,83.60,106.00
2010-06-01,198.80,,185.60
2010-07-01,86.10,,79.10
2010-08-01,110.30,110.50,108.00
2010-09-01,83.30,77.00,
2010-10-01,51.80,83.80,
2010-11-01,113.40,,
2010-12-01,36.70,,78.60
2011-01-01,49.30,55.60,46.40
2011-02-01,28.30,125.30,73.50
2011-03-01,56.30,184.80,61.60
2011-04-01,82.30,,81.60
2011-05-01,144.80,,136.10
2011-06-01,130.40,,115.20
2011-07-01,175.20,,145.90
2011-08-01,82.50,,32.00
2011-09-01,40.70,,33.80
2011-10-01,49.10,,12.40
2011-11-01,62.50,,
2011-12-01,89.70,,
2012-01-01,96.30,143.52,
2012-02-01,65.40,150.00,
2012-03-01,65.60,193.68,
2012-04-01,64.20,128.64,50.30
2012-05-01,79.70,217.92,81.00
2012-06-01,124.10,236.16,95.90
2012-07-01,142.80,272.64,128.50
2012-08-01,112.30,205.68,135.90
2012-09-01,52.30,89.04,40.10
2012-10-01,36.40,99.36,41.30
2012-11-01,28.60,79.44,29.10
2012-12-01,37.50,101.04,36.80
2013-01-01,49.30,106.56,40.30
2013-02-01,80.80,209.28,113.80
2013-03-01,25.80,118.32,46.30
2013-04-01,63.70,159.84,48.50
2013-05-01,192.40,197.76,100.60
2013-06-01,125.00,190.08,83.60
2013-07-01,183.90,296.88,150.30
2013-08-01,97.52,166.32,74.30
2013-09-01,97.70,218.64,79.70
2013-10-01,81.90,108.72,73.80
2013-11-01,60.40,70.08,53.20
2013-12-01,53.70,87.84,
2014-01-01,13.10,85.92,
2014-02-01,19.20,,20.80
2014-03-01,96.40,70.32,78.50
2014-04-01,146.90,87.36,88.60
2014-05-01,194.90,54.72,79.40
2014-06-01,211.80,128.40,
2014-07-01,89.70,90.96,107.60
2014-08-01,123.80,,50.40
2014-09-01,84.90,,89.70
2014-10-01,68.10,,81.60
2014-11-01,41.40,,55.80
2014-12-01,54.20,,55.60
2015-01-01,69.40,,80.80
2015-02-01,55.20,138.48,55.90
2015-03-01,71.90,142.56,76.00
2015-04-01,78.80,171.12,55.50
2015-05-01,77.10,173.28,37.90
2015-06-01,262.80,454.56,277.30
2015-07-01,168.30,,227.80
2015-08-01,117.30,,119.00
2015-09-01,53.80,,41.70
2015-10-01,64.80,,58.20
2015-11-01,83.70,,91.20
2015-12-01,40.40,137.52,44.40
2016-01-01,26.10,35.76,23.20
2016-02-01,45.20,179.04,68.00
2016-03-01,91.60,,116.70
2016-04-01,113.80,,130.30
2016-05-01,82.70,,87.90
2016-06-01,239.70,,245.50
2016-07-01,123.80,,122.70
2016-08-01,59.10,,55.70
2016-09-01,116.90,,120.20
2016-10-01,38.80,,34.70
2016-11-01,46.90,,45.30
2016-12-01,36.80,,37.50
2017-01-01,90.70,,97.90
2017-02-01,30.50,54.24,30.90
2017-03-01,97.40,135.60,106.50
2017-04-01,77.50,96.72,88.80
2017-05-01,153.50,156.96,150.50
2017-06-01,207.40,157.92,139.20
2017-07-01,202.60,249.12,247.10
2017-08-01,75.10,162.96,132.50
2017-09-01,93.50,116.16,97.50
2017-10-01,61.70,107.52,63.90
2017-11-01,70.70,82.08,76.50
2017-12-01,98.50,115.92,106.60
2018-01-01,103.80,89.18,112.00
2018-02-01,10.70,13.30,40.90
2018-03-01,47.10,42.40,52.30
2018-04-01,42.20,46.60,
2018-05-01,156.80,77.50,
2018-06-01,139.00,95.90,
2018-07-01,88.50,79.70,93.80
2018-08-01,117.40,92.10,157.60
2018-09-01,88.30,83.30,87.20
2018-10-01,23.80,69.00,26.60
2018-11-01,54.10,72.70,53.40
2018-12-01,93.80,140.30,84.10
2019-01-01,87.90,124.50,87.40
2019-02-01,71.30,95.60,55.20
2019-03-01,44.90,94.80,
2019-04-01,75.70,132.00,75.70
2019-05-01,202.60,268.80,138.10
2019-06-01,,408.00,130.60
2019-07-01,183.40,199.70,148.20
2019-08-01,200.90,141.90,182.20
2019-09-01,78.10,,63.60
2019-10-01,119.00,157.00,117.50
2019-11-01,63.50,120.90,68.00
2019-12-01,58.80,150.70,55.70
2020-01-01,53.80,134.20,78.60
2020-02-01,70.70,80.40,77.50
2020-03-01,65.60,106.90,65.70
2020-04-01,81.30,174.40,81.10
2020-05-01,124.30,283.70,132.40
2020-06-01,193.40,292.70,168.70
2020-07-01,194.60,324.50,71.80
2020-08-01,123.50,,127.60
2020-09-01,114.10,,84.50
2020-10-01,61.20,120.10,57.20
2020-11-01,116.50,115.00,108.00
2020-12-01,71.80,131.40,73.00
2021-01-01,98.10,202.50,78.20
2021-02-01,80.30,176.40,77.90
2021-03-01,100.60,186.80,100.20
2021-04-01,167.70,73.00,140.10
2021-05-01,176.60,,167.90
2021-06-01,186.10,,155.20
2021-07-01,197.00,15.80,66.30
2021-08-01,92.80,23.80,86.20
2021-09-01,117.20,15.80,115.90
2021-10-01,95.90,40.90,103.90
2021-11-01,51.70,0.00,53.10
2021-12-01,63.00,10.50,59.80
2022-01-01,33.50,70.50,33.50
2022-02-01,49.90,,47.80
2022-03-01,82.80,,80.40
2022-04-01,,,77.70
2022-05-01,,,108.50
2022-06-01,164.90,,154.60
2022-07-01,240.20,,226.50
2022-08-01,163.10,,151.70
2022-09-01,86.00,,84.10
2022-10-01,83.30,,83.80
2022-11-01,57.50,,53.60
2022-12-01,75.00,,70.10
2023-01-01,67.50,,63.60
2023-02-01,66.60,,63.00
2023-03-01,124.50,225.00,124.50
2023-04-01,111.50,99.00,116.90
2023-05-01,96.90,,98.20
2023-06-01,122.90,,106.80
2023-07-01,186.10,333.30,180.10
2023-08-01,132.90,215.30,128.30
2023-09-01,70.90,114.90,66.00
2023-10-01,36.30,52.80,38.10
2023-11-01,103.80,171.00,103.10
2023-12-01,64.10,,63.80
2024-01-01,69.70,,70.80
2024-02-01,80.80,,76.70
2024-03-01,70.40,,68.10
2024-04-01,115.60,,112.70
2024-05-01,150.70,,144.40
2024-06-01,183.30,,173.00
2024-07-01,138.60,,128.80
2024-08-01,111.70,,105.00
2024-09-01,73.70,,
2024-10-01,49.50,,
2024-11-01,20.60,,
2024-12-01,88.90,,
2025-01-01,93.60,,
2025-02-01,86.40,,86.30
