Fecha,P34,P63,M5023
2020-05-01,124.30,,132.40
2020-06-01,193.40,,168.70
2020-07-01,194.60,,71.80
2020-08-01,123.50,,127.60
2020-09-01,114.10,,84.50
2020-10-01,61.20,209.90,57.20
2020-11-01,116.50,,108.00
2020-12-01,71.80,83.40,73.00
2021-01-01,98.10,117.20,78.20
2021-02-01,80.30,148.60,77.90
2021-03-01,100.60,177.90,100.20
2021-04-01,167.70,159.10,140.10
2021-05-01,176.60,204.50,167.90
2021-06-01,186.10,142.10,155.20
2021-07-01,197.00,208.20,66.30
2021-08-01,92.80,104.00,86.20
2021-09-01,117.20,124.90,115.90
2021-10-01,95.90,112.60,103.90
2021-11-01,51.70,93.00,53.10
2021-12-01,63.00,103.70,59.80
2022-01-01,33.50,64.20,33.50
2022-02-01,49.90,69.20,47.80
2022-03-01,82.80,130.30,80.40
2022-04-01,,,77.70
2022-05-01,,,108.50
2022-06-01,164.90,,154.60
2022-07-01,240.20,,226.50
2022-08-01,163.10,145.90,151.70
2022-09-01,86.00,80.00,84.10
2022-10-01,83.30,,83.80
2022-11-01,57.50,,53.60
2022-12-01,75.00,62.20,70.10
2023-01-01,67.50,129.40,63.60
2023-02-01,66.60,90.40,63.00
2023-03-01,124.50,154.60,124.50
2023-04-01,111.50,125.30,116.90
2023-05-01,96.90,113.50,98.20
2023-06-01,122.90,,106.80
2023-07-01,186.10,,180.10
2023-08-01,132.90,,128.30
2023-09-01,70.90,75.40,66.00
2023-10-01,36.30,59.60,38.10
2023-11-01,103.80,125.50,103.10
2023-12-01,64.10,,63.80
2024-01-01,69.70,,70.80
2024-02-01,80.80,89.40,76.70
2024-03-01,70.40,114.70,68.10
2024-04-01,115.60,149.40,112.70
2024-05-01,150.70,149.70,144.40
2024-06-01,183.30,200.80,173.00
2024-07-01,138.60,177.20,128.80
2024-08-01,111.70,117.80,105.00
2024-09-01,73.70,111.40,
2024-10-01,49.50,66.70,
2024-11-01,20.60,,
2024-12-01,88.90,,
2025-01-01,93.60,,
2025-02-01,86.40,,86.30
