Fecha,P42,P43,P55
2020-04-01,,,50.40
2020-05-01,,,
2020-06-01,,,142.60
2020-07-01,,,144.50
2020-08-01,,,52.50
2020-09-01,119.80,,104.30
2020-10-01,,,49.80
2020-11-01,,111.80,125.60
2020-12-01,,57.50,58.00
2021-01-01,,86.20,64.60
2021-02-01,,83.20,75.20
2021-03-01,,136.00,209.40
2021-04-01,169.40,175.70,
2021-05-01,156.40,167.10,126.70
2021-06-01,176.30,195.70,116.70
2021-07-01,,177.90,92.00
2021-08-01,,104.90,73.70
2021-09-01,158.00,156.40,112.80
2021-10-01,76.80,90.30,86.90
2021-11-01,73.90,80.80,57.40
2021-12-01,15.90,73.80,51.80
2022-01-01,0.30,45.00,33.00
2022-02-01,0.00,71.10,60.10
2022-03-01,0.00,105.20,60.50
2022-04-01,69.50,128.50,80.90
2022-05-01,129.10,154.10,104.90
2022-06-01,170.10,188.00,158.80
2022-07-01,165.20,172.30,133.30
2022-08-01,,,
2022-09-01,,,
2022-10-01,,63.60,
2022-11-01,52.70,55.00,
2022-12-01,,66.40,54.90
2023-01-01,,80.30,70.40
2023-02-01,,45.20,40.60
2023-03-01,167.40,146.40,124.80
2023-04-01,,106.00,98.80
2023-05-01,,143.00,91.30
2023-06-01,,177.50,73.50
2023-07-01,157.50,230.60,93.60
2023-08-01,127.90,159.20,78.70
2023-09-01,63.00,75.10,
2023-10-01,45.40,56.60,41.50
2023-11-01,,,69.30
2023-12-01,,,78.10
2024-01-01,42.20,73.60,61.10
2024-02-01,80.30,72.60,73.20
2024-03-01,76.20,82.40,73.50
2024-04-01,129.89,156.30,120.90
2024-05-01,13.86,162.10,92.70
2024-06-01,14.83,179.70,105.00
2024-07-01,14.20,165.90,93.60
