Fecha,H32,H34,H36,H45
2022-11-01,0.445804,0.293889,22.337981,
2022-12-01,0.457787,0.324042,,
2023-01-01,0.391981,0.228231,,
2023-02-01,0.442144,0.173706,,
2023-03-01,,0.361024,,
2023-04-01,,0.226769,,
2023-05-01,0.350332,0.444856,,
2023-06-01,0.340508,0.747031,,
2023-07-01,0.392201,1.176492,,
2023-08-01,0.375563,1.065432,,
2023-09-01,0.312277,0.386720,,
2023-10-01,0.245107,0.181819,,
2023-11-01,0.305753,0.314579,,
2023-12-01,0.346768,0.371737,,
2024-01-01,0.376808,0.511414,,
2024-02-01,,0.317856,,
2024-03-01,,0.517816,,
2024-04-01,0.479901,0.369709,,
2024-05-01,0.495435,,,
